Contractor ID,Contractor Name,"Last WED Reported ",Snapshot WED,Company Type,Last Hire Date,Journeypersons,Is Inactive
000872,Environmental Climate Control,03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA, Shift Work",01/07/2026 07:00:00,29,False
001276,"Epic Mechanical, Inc.",11/02/2025 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Independent, Compliance3",04/15/2025 00:00:00,1,False
000683,F&G Mechanical Corp.,03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",12/08/2025 00:00:00,2,False
000865,G P Systems,02/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Compliance3",05/09/2025 00:00:00,1,False
000941,"Independent Sheet Metal Co., Inc.",03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA",11/17/2025 00:00:00,26,False
000925,Jansons Associates,03/01/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, 25 Working in 28, Compliance, Compliance2, SMACNA",03/04/2025 00:00:00,1,False
006001,KF MECHANICAL LLC MARK REC,03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Market Recovery - No Industry, Compliance, Compliance2",03/02/2026 00:00:00,7,False
000601,"KF Mechanical, LLC",03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades - No Industry, School Hours, Compliance, Compliance2, Independent",02/25/2026 00:00:00,25,False
001412,MONAGHAN RESTORATION SERVICES,03/01/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, Building Trades - No Industry, Compliance, Compliance2, SMACNA, Independent",08/22/2025 00:00:00,2,False
000982,PAR Sheet Metal,03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, 25 Working in 28, School Hours, Compliance, Compliance2, SMACNA",10/02/2024 00:00:00,3,False
001449,PATWOOD ROOFING,12/31/2025 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, Compliance2, Independent, Compliance3",05/01/2025 00:00:00,1,False
001397,PREFERRED MECHANICAL INC,03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA",07/01/2024 00:00:00,1,False
001385,RICHARD SHEET METAL INC,03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, School Hours, Compliance, Compliance2, SMACNA, Independent",02/02/2026 00:00:00,8,False
001408,S-A-C INSTALLERS,02/22/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, Compliance2, SMACNA, Independent, Compliance3",11/07/2022 00:00:00,1,False
001431,THASSIAN MECHANCIAL CONTRACTING,02/15/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA, Independent",07/22/2025 07:00:00,4,False
001433,TNT MATERIALS OF NJ,03/01/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA, Independent",01/19/2026 00:00:00,2,False
001237,Ultimate Comfort Control Corp.,03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades, Compliance, Compliance2, SMACNA",02/10/2025 00:00:00,7,False
001364,Wun-Call LLC,03/08/2026 00:00:00,03/08/2026 00:00:00,"Signatory, Building Trades - No Industry, Compliance, Compliance2, Independent",01/18/2025 00:00:00,4,False
